empresa_id,aeronave,modelo_sessao_codigo,modelo_sessao_nome,finalidade,ordem,manobra_id,manobra_codigo_atual,manobra_nome_atual,categoria,tipo_conteudo,aplicabilidade,referencia_airtrust,referencia_pto,referencia_normativa,ativa,origem_dado,proveniencia,commit_ou_evidencia,observacao,acao_documental_recomendada
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,1,894,A139-TRE-01B,Cabine AW139 e power-up,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=1,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,2,898,A139-PRC-01,Normal checklist — preparação noturna,PROCEDIMENTO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=2,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,3,895,A139-TRE-01C,"Leitura, priorização e reconhecimento básico de CAS sem pane simulada",TREINAMENTO,EMERGENCIA,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=3,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,4,918,A139-PRC-01A,Localização guiada de procedimento no QRH sem execução de emergência,PROCEDIMENTO,EMERGENCIA,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=4,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,5,891,A139-TRE-01,"Engajamento, monitoramento e desconexão normal dos modos básicos do AFCS",TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=5,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,6,927,A139-TRE-01S,Taxi/deslocamento em solo e heliponto,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=6,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,7,366,A139-VOO-03,Hover & taxi,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=7,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,8,917,A139-TRE-01N,Controle de potência e parâmetros,TREINAMENTO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=8,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,9,370,A139-NRM-02,Decolagens & pousos,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=9,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
6,AW139,A139-I-01/12,Familiarização / Checklist Normal / Voo Normal,INICIAL,10,364,A139-VOO-01,Controle geral VFR,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,production-d1-read-only:2026-07-15:modelo=A139-I-01/12:ordem=10,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),,SIM,PRODUCAO_READ_ONLY,PRESENTE_EM_PRODUCAO_NAO_LOCALIZADO_NO_GITHUB,production-d1-read-only:2026-07-15,Codigo de manobra ativo em producao sem localizacao nas fontes versionadas pesquisadas.,"Usar o snapshot canonico de 2026-07-15 como baseline documental completa: manobra_codigo_atual, manobra_nome_atual, ordem, aplicabilidade e relacao modelo-manobra sao canonicos; qualquer divergencia deve ser corrigida no PTO; proveniencia parcial permanece TRACEABILITY_DEBT_OPEN sem bloquear o uso documental."
